KMLB	                TMPF	DWPF
9-10-2025 11:31 GMT	73.9	73
9-10-2025 11:35 GMT	73.4	73.4
9-10-2025 11:40 GMT	73.4	73.4
9-10-2025 11:45 GMT	75.2	73.4
9-10-2025 11:47 GMT	75.2	73.4
9-10-2025 11:50 GMT	75.2	73.4
9-10-2025 11:53 GMT	75	73.9
9-10-2025 11:55 GMT	75.2	73.4
9-10-2025 12:00 GMT	75.2	73.4
9-10-2025 12:05 GMT	75.2	73.4
9-10-2025 12:10 GMT	75.2	73.4
9-10-2025 12:15 GMT	75.2	73.4
9-10-2025 12:20 GMT	75.2	73.4
9-10-2025 12:25 GMT	75.2	73.4
9-10-2025 12:30 GMT	75.2	73.4
9-10-2025 12:32 GMT	75.9	73.9
9-10-2025 12:35 GMT	75.2	73.4
9-10-2025 12:40 GMT	75.2	73.4
9-10-2025 12:45 GMT	75.2	73.4
9-10-2025 12:50 GMT	75.2	73.4
9-10-2025 12:53 GMT	75.9	75
9-10-2025 12:55 GMT	77	75.2
9-10-2025 13:00 GMT	75.2	75.2
9-10-2025 13:04 GMT	75.9	73.9
9-10-2025 13:05 GMT	75.2	73.4
9-10-2025 13:10 GMT	75.2	73.4
9-10-2025 13:15 GMT	75.2	75.2
9-10-2025 13:20 GMT	75.2	73.4
9-10-2025 13:25 GMT	77	73.4
9-10-2025 13:30 GMT	77	75.2
9-10-2025 13:35 GMT	78.8	75.2
9-10-2025 13:40 GMT	77	73.4
9-10-2025 13:45 GMT	78.8	73.4
9-10-2025 13:50 GMT	78.8	73.4
9-10-2025 13:53 GMT	78.1	73.9
9-10-2025 13:55 GMT	78.8	73.4
9-10-2025 13:57 GMT	78.1	73.9
9-10-2025 14:00 GMT	78.8	73.4
9-10-2025 14:05 GMT	78.8	73.4
9-10-2025 14:07 GMT	79	73.9
9-10-2025 14:10 GMT	78.8	73.4
9-10-2025 14:15 GMT	78.8	73.4
9-10-2025 14:19 GMT	80.1	73.9
9-10-2025 14:20 GMT	80.6	73.4
9-10-2025 14:25 GMT	80.6	75.2
9-10-2025 14:30 GMT	80.6	73.4
9-10-2025 14:32 GMT	81	73.9
9-10-2025 14:35 GMT	80.6	73.4
9-10-2025 14:40 GMT	80.6	73.4
9-10-2025 14:45 GMT	80.6	73.4
9-10-2025 14:50 GMT	82.4	73.4
9-10-2025 14:53 GMT	81	73.9
9-10-2025 14:55 GMT	80.6	73.4
9-10-2025 15:00 GMT	82.4	75.2
9-10-2025 15:05 GMT	82.4	73.4
9-10-2025 15:10 GMT	80.6	73.4
9-10-2025 15:15 GMT	82.4	73.4
9-10-2025 15:20 GMT	82.4	73.4
9-10-2025 15:25 GMT	82.4	73.4
9-10-2025 15:30 GMT	82.4	73.4
9-10-2025 15:35 GMT	82.4	73.4
9-10-2025 15:40 GMT	82.4	73.4
9-10-2025 15:42 GMT	82	73
9-10-2025 15:45 GMT	82.4	73.4
9-10-2025 15:50 GMT	84.2	73.4
9-10-2025 15:53 GMT	84	73
9-10-2025 15:55 GMT	84.2	71.6
9-10-2025 16:00 GMT	84.2	73.4
9-10-2025 16:05 GMT	84.2	71.6
9-10-2025 16:10 GMT	84.2	71.6
9-10-2025 16:15 GMT	84.2	71.6
9-10-2025 16:20 GMT	84.2	71.6
9-10-2025 16:25 GMT	84.2	71.6
9-10-2025 16:30 GMT	84.2	71.6
9-10-2025 16:35 GMT	86	73.4
9-10-2025 16:40 GMT	84.2	71.6
9-10-2025 16:45 GMT	86	73.4
9-10-2025 16:50 GMT	86	71.6
9-10-2025 16:53 GMT	86	72
9-10-2025 16:55 GMT	86	71.6
9-10-2025 17:00 GMT	84.2	71.6
9-10-2025 17:05 GMT	86	71.6
9-10-2025 17:10 GMT	87.8	71.6
9-10-2025 17:15 GMT	87.8	73.4
9-10-2025 17:20 GMT	86	71.6
9-10-2025 17:25 GMT	84.2	71.6
9-10-2025 17:30 GMT	84.2	73.4
9-10-2025 17:35 GMT	84.2	73.4
9-10-2025 17:40 GMT	84.2	73.4
9-10-2025 17:45 GMT	84.2	71.6
9-10-2025 17:50 GMT	84.2	71.6
9-10-2025 17:53 GMT	84.9	72
9-10-2025 17:55 GMT	84.2	71.6
9-10-2025 18:00 GMT	84.2	71.6
9-10-2025 18:05 GMT	84.2	71.6
9-10-2025 18:10 GMT	84.2	71.6
9-10-2025 18:15 GMT	84.2	71.6
9-10-2025 18:20 GMT	84.2	71.6
9-10-2025 18:25 GMT	84.2	71.6
9-10-2025 18:30 GMT	84.2	71.6
9-10-2025 18:35 GMT	84.2	71.6
9-10-2025 18:40 GMT	84.2	71.6
9-10-2025 18:45 GMT	84.2	71.6
9-10-2025 18:50 GMT	84.2	71.6
9-10-2025 18:53 GMT	84.9	72
9-10-2025 18:55 GMT	84.2	71.6
9-10-2025 19:00 GMT	84.2	71.6
9-10-2025 19:05 GMT	84.2	73.4
9-10-2025 19:10 GMT	84.2	73.4
9-10-2025 19:15 GMT	84.2	73.4
9-10-2025 19:20 GMT	84.2	71.6
9-10-2025 19:25 GMT	84.2	73.4
9-10-2025 19:30 GMT	86	71.6
9-10-2025 19:35 GMT	86	71.6
9-10-2025 19:40 GMT	86	73.4
9-10-2025 19:45 GMT	84.2	73.4
9-10-2025 19:50 GMT	84.2	73.4
9-10-2025 19:53 GMT	84	73.9
9-10-2025 19:55 GMT	84.2	73.4
9-10-2025 20:00 GMT	84.2	73.4
9-10-2025 20:05 GMT	84.2	73.4
9-10-2025 20:10 GMT	82.4	73.4
9-10-2025 20:15 GMT	84.2	73.4
9-10-2025 20:20 GMT	84.2	73.4
9-10-2025 20:25 GMT	84.2	73.4
9-10-2025 20:30 GMT	84.2	75.2
9-10-2025 20:35 GMT	82.4	75.2
9-10-2025 20:40 GMT	82.4	75.2
9-10-2025 20:45 GMT	82.4	75.2
9-10-2025 20:50 GMT	82.4	75.2
9-10-2025 20:53 GMT	82.9	75.9
9-10-2025 20:55 GMT	82.4	75.2
9-10-2025 21:00 GMT	82.4	75.2
9-10-2025 21:05 GMT	82.4	75.2
9-10-2025 21:10 GMT	82.4	75.2
9-10-2025 21:15 GMT	84.2	75.2
9-10-2025 21:20 GMT	84.2	73.4
9-10-2025 21:25 GMT	84.2	73.4
9-10-2025 21:30 GMT	84.2	75.2
9-10-2025 21:35 GMT	84.2	73.4
9-10-2025 21:40 GMT	84.2	75.2
9-10-2025 21:45 GMT	84.2	73.4
9-10-2025 21:50 GMT	84.2	75.2
9-10-2025 21:53 GMT	84	75
9-10-2025 21:55 GMT	84.2	75.2
9-10-2025 22:00 GMT	84.2	75.2
9-10-2025 22:05 GMT	84.2	75.2
9-10-2025 22:10 GMT	84.2	75.2
9-10-2025 22:15 GMT	82.4	75.2
9-10-2025 22:20 GMT	82.4	75.2
9-10-2025 22:25 GMT	82.4	75.2
9-10-2025 22:30 GMT	82.4	75.2
9-10-2025 22:35 GMT	82.4	75.2
9-10-2025 22:40 GMT	82.4	73.4
9-10-2025 22:45 GMT	82.4	75.2
9-10-2025 22:50 GMT	82.4	75.2
9-10-2025 22:53 GMT	82.9	73.9
9-10-2025 22:55 GMT	82.4	73.4
9-10-2025 23:00 GMT	82.4	73.4
9-10-2025 23:05 GMT	82.4	73.4
9-10-2025 23:10 GMT	82.4	75.2
9-10-2025 23:15 GMT	82.4	75.2
9-10-2025 23:20 GMT	82.4	75.2
9-10-2025 23:25 GMT	82.4	73.4
9-10-2025 23:30 GMT	82.4	73.4
9-10-2025 23:35 GMT	80.6	73.4
9-10-2025 23:40 GMT	80.6	75.2
9-10-2025 23:45 GMT	82.4	75.2
9-10-2025 23:50 GMT	82.4	75.2
9-10-2025 23:53 GMT	82	73.9
9-10-2025 23:55 GMT	82.4	73.4
9-11-2025 0:00 GMT	82.4	75.2
