station	valid	       tmpf	dwpf	sknt	mslp	p01m
MLB	8/2/25 8:53	76	73	3	1018.7	0
MLB	8/2/25 9:53	76	73	3	1019.2	0
MLB	8/2/25 10:53	76	74	3	1019.2	0
MLB	8/2/25 11:53	78	75	4	1019.2	0
MLB	8/2/25 12:53	81	76	5	1019	0
MLB	8/2/25 13:53	85	77	4	1019.1	0
MLB	8/2/25 14:53	88	77	5	1019.2	0
MLB	8/2/25 15:53	89	76	6	1019.2	0
MLB	8/2/25 16:53	89	75	3	1018.9	0
MLB	8/2/25 17:39	84	76	6	M	0.76
MLB	8/2/25 17:45	83	76	10	M	4.57
MLB	8/2/25 17:53	80	75	13	1018.6	8.64
MLB	8/2/25 18:02	79	75	5	M	4.06
MLB	8/2/25 18:12	77	74	3	M	11.94
MLB	8/2/25 18:28	76	73	10	M	19.56
MLB	8/2/25 18:35	76	73	8	M	19.56
MLB	8/2/25 18:40	77	73	5	M	19.56
MLB	8/2/25 18:53	78	74	7	1017.6	19.56
MLB	8/2/25 19:01	78	75	3	M	0
MLB	8/2/25 19:18	79	75	6	M	0
MLB	8/2/25 19:53	86	76	M	1017	0
MLB	8/2/25 20:53	89	76	7	1016.2	0
MLB	8/2/25 21:53	87	74	10	1015.8	0
MLB	8/2/25 22:53	83	73	12	1016.8	0
MLB	8/2/25 23:06	82	73	13	M	0
MLB	8/2/25 23:21	80	72	11	M	0
MLB	8/2/25 23:53	80	71	7	1016.6	0
MLB	8/3/25 0:53	78	71	4	1016.4	0
MLB	8/3/25 1:53	78	72	0	1017.1	0
MLB	8/3/25 2:53	78	72	5	1017.4	0
MLB	8/3/25 3:53	78	71	3	1017.2	0
MLB	8/3/25 4:53	78	72	4	1017	0
MLB	8/3/25 5:53	78	73	4	1016.4	0
MLB	8/3/25 6:53	78	73	3	1015.6	0
MLB	8/3/25 7:53	78	73	3	1015.2	0
MLB	8/3/25 8:53	78	74	3	1015.2	0
MLB	8/3/25 9:53	77	74	0	1015.1	0
MLB	8/3/25 10:53	77	74	4	1015.4	0
MLB	8/3/25 11:53	78	74	4	1016.1	0
MLB	8/3/25 12:53	81	74	4	1016.4	0
MLB	8/3/25 13:53	85	75	4	1016.4	0
MLB	8/3/25 14:53	87	75	3	1016.5	0
MLB	8/3/25 15:53	89	75	7	1016.1	0
MLB	8/3/25 16:53	91	74	3	1015.7	0
MLB	8/3/25 17:53	91	75	6	1014.9	0
MLB	8/3/25 18:53	88	76	10	1014.3	0
MLB	8/3/25 19:53	88	76	9	1013.8	0
MLB	8/3/25 20:53	89	76	9	1013.1	0
MLB	8/3/25 21:53	88	77	9	1013.2	0
MLB	8/3/25 22:53	88	77	11	1013.6	0
MLB	8/3/25 23:53	86	76	10	1013.9	0
MLB	8/4/25 0:53	86	76	7	1014	0
MLB	8/4/25 1:53	84	75	7	1015.2	0
MLB	8/4/25 2:53	83	76	6	1015.3	0
MLB	8/4/25 3:53	83	76	8	1015.6	0
MLB	8/4/25 4:53	83	75	6	1015.2	0
MLB	8/4/25 5:53	81	75	3	1015.3	0
MLB	8/4/25 6:53	81	76	0	1014.8	0
MLB	8/4/25 7:53	80	76	5	1014.4	T
MLB	8/4/25 8:53	80	75	5	1014.2	0
MLB	8/4/25 9:53	80	75	4	1014.6	0
MLB	8/4/25 10:53	79	75	0	1015	0
MLB	8/4/25 11:53	80	76	0	1015.6	0
MLB	8/4/25 12:53	83	75	6	1015.9	0
MLB	8/4/25 13:53	86	75	7	1016.4	0
MLB	8/4/25 14:53	88	76	8	1016.6	0
MLB	8/4/25 15:53	90	75	9	1016.7	0
MLB	8/4/25 16:53	91	76	6	1016.4	0
MLB	8/4/25 17:53	91	78	6	1016	0
MLB	8/4/25 18:53	91	77	9	1015.3	0
MLB	8/4/25 19:53	91	77	10	1014.8	0
MLB	8/4/25 20:53	90	78	12	1015	0
MLB	8/4/25 21:53	89	77	13	1014.7	0
MLB	8/4/25 22:53	88	77	13	1015.8	0
MLB	8/4/25 23:53	87	77	9	1016.6	0
MLB	8/5/25 0:08	87	77	11	M	0
MLB	8/5/25 0:39	82	73	19	M	0
MLB	8/5/25 0:53	77	71	17	1018.2	0
MLB	8/5/25 1:07	76	69	16	M	0
MLB	8/5/25 1:15	75	69	11	M	0
MLB	8/5/25 1:44	74	70	0	M	0
MLB	8/5/25 1:53	74	69	0	1018.9	0
MLB	8/5/25 2:24	75	70	4	M	0
MLB	8/5/25 2:39	76	70	3	M	0
MLB	8/5/25 2:53	76	70	0	1019.6	0
MLB	8/5/25 3:53	75	69	3	1019.8	0
MLB	8/5/25 4:53	76	69	5	1018.8	0
MLB	8/5/25 5:53	76	69	6	1018.4	0
MLB	8/5/25 6:53	76	69	0	1018.1	0
MLB	8/5/25 7:53	74	70	4	1018.4	0
MLB	8/5/25 8:53	74	71	0	1018.6	0
MLB	8/5/25 9:53	75	71	0	1018.9	0
MLB	8/5/25 10:53	75	71	3	1019.3	0
MLB	8/5/25 11:53	79	73	0	1019.8	0
MLB	8/5/25 12:53	83	75	0	1020.4	0
MLB	8/5/25 13:53	87	75	7	1020.6	0
MLB	8/5/25 14:53	88	75	4	1020.8	0
MLB	8/5/25 15:53	90	75	5	1020.8	0
MLB	8/5/25 16:53	92	73	3	1020.8	0
MLB	8/5/25 17:53	90	77	9	1020.3	0
MLB	8/5/25 18:53	90	77	10	1019.6	0
MLB	8/5/25 19:53	90	78	10	1019	0
MLB	8/5/25 20:35	90	77	10	M	0
MLB	8/5/25 20:53	89	76	11	1018.9	0
MLB	8/5/25 21:51	87.8	75.2	9	M	0
MLB	8/5/25 21:53	87	76	10	1019.2	0
MLB	8/5/25 22:06	88	76	12	M	0
MLB	8/5/25 22:53	87	76	11	1019.4	0
MLB	8/5/25 23:15	87	77	10	M	0
MLB	8/5/25 23:30	87	77	9	M	0
MLB	8/5/25 23:53	86	77	9	1019.6	0
MLB	8/6/25 0:53	86	77	7	1020.6	0
MLB	8/6/25 1:49	78.8	71.6	13	M	0
MLB	8/6/25 1:53	79	71	16	1021.7	0
MLB	8/6/25 2:07	77	74	20	M	4.06
MLB	8/6/25 2:14	77	74	18	M	10.92
MLB	8/6/25 2:21	77	75	16	M	15.75
MLB	8/6/25 2:25	77	75	13	M	16.76
MLB	8/6/25 2:35	77	74	8	M	19.05
MLB	8/6/25 2:48	77	73.4	0	M	24.38
MLB	8/6/25 2:53	77	74	0	1023.1	26.42
MLB	8/6/25 3:03	77	74	0	M	1.27
MLB	8/6/25 3:30	77	75	8	M	2.03
MLB	8/6/25 3:53	77	75	4	1021.6	2.54
MLB	8/6/25 4:53	77	73	0	1021.4	T
MLB	8/6/25 5:53	77	74	8	1021.5	T
MLB	8/6/25 6:53	76	74	4	1020.8	0.51
MLB	8/6/25 7:53	75	73	5	1020.3	T
MLB	8/6/25 8:53	75	73	0	1020.5	0
MLB	8/6/25 9:34	76	74	5	M	0
MLB	8/6/25 9:53	76	74	0	1020.5	0
MLB	8/6/25 10:53	76	74	6	1021	0
MLB	8/6/25 11:53	77	74	0	1021.5	0
MLB	8/6/25 12:53	80	75	0	1021.9	0
MLB	8/6/25 13:53	84	74	0	1022.1	0
MLB	8/6/25 14:53	86	74	0	1022.4	0
MLB	8/6/25 15:53	88	76	8	1022.4	0
MLB	8/6/25 16:53	88	77	10	1022.3	0
MLB	8/6/25 17:53	88	77	10	1021.5	0
MLB	8/6/25 18:53	88	77	11	1021	0
MLB	8/6/25 19:53	88	77	8	1020.4	0
MLB	8/6/25 20:53	88	77	12	1019.9	0
MLB	8/6/25 21:53	87	78	9	1020	0
MLB	8/6/25 22:53	86	78	9	1020.2	0
MLB	8/6/25 23:53	85	78	5	1020.7	0
MLB	8/7/25 0:40	84	78	4	M	0
MLB	8/7/25 0:53	85	77	4	1020.6	0
MLB	8/7/25 1:53	84	77	4	1020.9	0
MLB	8/7/25 2:32	82	77	5	M	0
MLB	8/7/25 2:51	80.6	77	3	M	0
MLB	8/7/25 2:53	81	76	3	1020.5	0
MLB	8/7/25 3:14	80	76	4	M	0
MLB	8/7/25 3:42	79	75	4	M	0
MLB	8/7/25 3:53	79	75	5	1020	0
MLB	8/7/25 4:53	79	75	3	1019.4	0
MLB	8/7/25 5:53	79	75	0	1019	0
MLB	8/7/25 6:53	79	75	3	1018.6	0
MLB	8/7/25 7:29	79	76	3	M	0
MLB	8/7/25 7:53	79	76	0	1018.3	0
MLB	8/7/25 8:11	79	76	0	M	0
MLB	8/7/25 8:53	79	77	6	1018.1	0
MLB	8/7/25 9:26	79	77	4	M	0
MLB	8/7/25 9:35	79	77	4	M	0
MLB	8/7/25 9:44	79	75	9	M	0
MLB	8/7/25 9:53	78	74	14	1018.5	1.27
MLB	8/7/25 9:57	76	73	9	M	4.06
MLB	8/7/25 10:09	76	74	5	M	17.02
MLB	8/7/25 10:18	76	74	0	M	18.03
MLB	8/7/25 10:37	75	73	3	M	19.56
MLB	8/7/25 10:53	76	74	8	1018.6	20.32
MLB	8/7/25 11:36	77	75	5	M	T
MLB	8/7/25 11:53	78	75	4	1019	T
MLB	8/7/25 12:53	80	75	4	1019.4	0
MLB	8/7/25 13:53	83	75	4	1019.5	0
MLB	8/7/25 14:34	87	76	8	M	0
MLB	8/7/25 14:43	87	76	8	M	0
MLB	8/7/25 14:53	87	76	9	1019.7	0
MLB	8/7/25 15:53	89	75	10	1019.3	T
MLB	8/7/25 16:53	89	75	11	1018.9	0
MLB	8/7/25 17:15	89	75	10	M	0
MLB	8/7/25 17:53	89	75	11	1018.2	0
MLB	8/7/25 18:53	88	76	13	1017.6	0
MLB	8/7/25 19:53	88	76	13	1016.6	0
MLB	8/7/25 20:53	85	73	11	1017.1	0
MLB	8/7/25 21:53	85	76	10	1016.3	0
MLB	8/7/25 22:53	84	75	8	1016.1	0
MLB	8/7/25 23:53	84	75	3	1017	0
MLB	8/8/25 0:53	84	73	6	1016.9	0
MLB	8/8/25 1:53	83	75	4	1017.2	0
MLB	8/8/25 2:53	84	75	5	1017.2	0
MLB	8/8/25 3:53	83	76	5	1016.9	0
MLB	8/8/25 4:53	81	77	5	1016.7	T
MLB	8/8/25 5:01	81	77	5	M	0
MLB	8/8/25 5:12	80	77	5	M	0
MLB	8/8/25 5:24	80	77	4	M	0
MLB	8/8/25 5:33	80	77	4	M	0
MLB	8/8/25 5:53	79	77	3	1016.2	0
MLB	8/8/25 6:06	80	77	5	M	0
MLB	8/8/25 6:21	78	75	4	M	0
MLB	8/8/25 6:53	78	75	3	1015.7	0
MLB	8/8/25 7:53	78	75	3	1015.3	0
MLB	8/8/25 8:03	78	75	0	M	0
MLB	8/8/25 8:20	78	75	0	M	T
MLB	8/8/25 8:35	79	76	5	M	T
MLB	8/8/25 8:43	79	75	3	M	T
MLB	8/8/25 8:53	79	76	0	1015.3	T
MLB	8/8/25 9:26	77	74	6	M	0.25
MLB	8/8/25 9:37	77	75	6	M	0.25
MLB	8/8/25 9:47	78.8	75.2	5	M	0.25
MLB	8/8/25 9:53	78	75	11	1015.5	0.25
MLB	8/8/25 10:01	77	74	9	M	T
MLB	8/8/25 10:22	76	74	8	M	T
MLB	8/8/25 10:31	76	74	3	M	0.51
MLB	8/8/25 10:53	76	74	3	1015.6	1.02
MLB	8/8/25 11:53	77	75	0	1015.5	0.51
MLB	8/8/25 12:53	78	75	6	1016.3	T
MLB	8/8/25 13:53	82	75	4	1016.2	0
MLB	8/8/25 14:53	83	75	8	1016.5	0
MLB	8/8/25 15:53	85	76	6	1016	0
MLB	8/8/25 16:53	86	76	9	1015.6	0
MLB	8/8/25 17:36	87	76	9	M	0
MLB	8/8/25 17:53	85	76	4	1015.3	T
MLB	8/8/25 18:10	84	75	8	M	T
MLB	8/8/25 18:53	84	75	6	1014.4	T
MLB	8/8/25 19:53	87	74	12	1013.6	0
MLB	8/8/25 20:53	84	75	12	1013.8	0
MLB	8/8/25 21:53	84	74	13	1013.4	0
MLB	8/8/25 22:53	84	73	9	1014	0
MLB	8/8/25 23:53	83	73	5	1015	0
MLB	8/9/25 0:25	78	73	11	M	0
MLB	8/9/25 0:33	78	73	8	M	0
MLB	8/9/25 0:53	77	73	6	1015.3	0
MLB	8/9/25 1:53	76	73	3	1015.7	0
MLB	8/9/25 2:53	76	73	0	1015.5	0
MLB	8/9/25 3:53	77	73	4	1015.6	0
MLB	8/9/25 4:53	76	73	3	1015.6	0
MLB	8/9/25 5:53	76	72	0	1015.1	0
MLB	8/9/25 6:53	76	73	4	1014.6	0
MLB	8/9/25 7:53	76	73	0	1014.4	0
MLB	8/9/25 8:53	76	73	3	1014.2	0
MLB	8/9/25 9:53	76	74	0	1014.1	0
MLB	8/9/25 10:53	77	74	0	1014.8	0
MLB	8/9/25 11:34	78	73	6	M	0
MLB	8/9/25 11:45	79	73	7	M	0
MLB	8/9/25 11:53	79	73	6	1015.4	0
MLB	8/9/25 12:53	81	74	7	1015.5	0
MLB	8/9/25 13:21	83	73	9	M	0
MLB	8/9/25 13:53	84	73	9	1015.8	0
MLB	8/9/25 14:24	84	76	13	M	0
MLB	8/9/25 14:34	84	75	10	M	0
MLB	8/9/25 14:53	84	75	9	1016.1	0
MLB	8/9/25 15:53	83	73	10	1016.4	0
MLB	8/9/25 16:53	83	73	6	1015.6	0
MLB	8/9/25 17:53	86	74	5	1014.9	0
MLB	8/9/25 18:53	87	76	14	1014.2	0
MLB	8/9/25 19:53	87	76	13	1013.7	0
MLB	8/9/25 20:20	87	76	17	M	0
MLB	8/9/25 20:53	81	73	13	1014.4	0
MLB	8/9/25 20:58	81	73	13	M	0
MLB	8/9/25 21:53	80	72	8	1015.2	0
MLB	8/9/25 22:23	79	73	11	M	0
MLB	8/9/25 22:34	79	73	8	M	0
MLB	8/9/25 22:53	78	73	7	1014.5	0
MLB	8/9/25 23:53	77	73	5	1014.8	0
MLB	8/10/25 0:53	77	73	3	1015.4	0
MLB	8/10/25 1:53	77	72	0	1016.1	0
MLB	8/10/25 2:53	78	72	4	1016.4	T
MLB	8/10/25 3:53	78	72	3	1016.3	0
MLB	8/10/25 4:53	79	73	6	1016.7	0
MLB	8/10/25 5:53	79	73	5	1016.2	0
MLB	8/10/25 6:53	78	73	5	1015.6	0
MLB	8/10/25 7:53	77	72	3	1015.6	0
MLB	8/10/25 8:53	77	72	0	1015.5	0
MLB	8/10/25 9:53	77	72	0	1015.4	0
MLB	8/10/25 10:53	76	72	5	1015.6	0
MLB	8/10/25 11:53	77	72	6	1016.2	0
MLB	8/10/25 12:53	80	73	8	1016.6	0
MLB	8/10/25 13:53	83	72	11	1016.9	0
MLB	8/10/25 14:53	86	73	10	1017	0
MLB	8/10/25 15:53	86	75	11	1016.9	0
MLB	8/10/25 16:53	87	73	13	1016.9	0
MLB	8/10/25 17:53	89	75	14	1016.3	0
MLB	8/10/25 18:30	84	76	10	M	2.03
MLB	8/10/25 18:41	83	76	11	M	2.79
MLB	8/10/25 18:53	83	76	10	1016.1	2.79
MLB	8/10/25 19:53	85	76	13	1015.7	0.51
MLB	8/10/25 20:47	77	73.4	22	M	3.81
MLB	8/10/25 20:53	76	73	15	1016.8	7.87
MLB	8/10/25 21:03	75	73	11	M	3.81
MLB	8/10/25 21:08	75	73	7	M	4.06
MLB	8/10/25 21:17	76	73	5	M	4.57
MLB	8/10/25 21:53	76	74	4	1016	4.83
MLB	8/10/25 22:53	78	74	0	1016.1	0
MLB	8/10/25 23:53	78	74	3	1016.6	0
MLB	8/11/25 0:53	77	74	3	1016.7	0
MLB	8/11/25 1:53	77	74	6	1016.9	0
MLB	8/11/25 2:53	77	74	5	1017.7	0
MLB	8/11/25 3:53	76	74	4	1017.7	0
MLB	8/11/25 4:53	76	74	6	1017.9	0
MLB	8/11/25 5:53	76	73	5	1017.3	0
MLB	8/11/25 6:53	76	73	5	1017.1	0
MLB	8/11/25 7:53	75	73	5	1016.9	0
MLB	8/11/25 8:53	75	73	4	1016.9	0
MLB	8/11/25 9:53	75	72	4	1016.8	0
MLB	8/11/25 10:53	75	72	3	1017.1	0
MLB	8/11/25 11:53	76	71	4	1017.6	0
MLB	8/11/25 12:53	81	73	5	1018.1	0
MLB	8/11/25 13:53	85	74	7	1018.5	0
MLB	8/11/25 14:53	87	75	5	1018.6	0
MLB	8/11/25 15:06	87	75	7	M	0
MLB	8/11/25 15:48	87.8	73.4	8	M	0
MLB	8/11/25 15:53	87	74	9	1018.4	0
MLB	8/11/25 16:53	89	76	11	1017.9	0
MLB	8/11/25 17:53	90	76	12	1017.7	0
MLB	8/11/25 18:53	89	77	12	1017.2	0
MLB	8/11/25 19:53	89	76	12	1016.5	0
MLB	8/11/25 20:53	89	76	13	1016.3	0
MLB	8/11/25 21:53	88	76	11	1016.7	0
MLB	8/11/25 22:53	86	77	9	1016.8	0
MLB	8/11/25 23:53	85	77	11	1016.9	0
MLB	8/12/25 0:53	85	76	11	1017.3	0
MLB	8/12/25 1:53	85	77	9	1018.1	0
MLB	8/12/25 2:53	85	77	7	1018.7	0
MLB	8/12/25 3:53	84	77	7	1019	0
MLB	8/12/25 4:53	84	77	7	1019	0
MLB	8/12/25 5:53	82	77	4	1018.7	0
MLB	8/12/25 6:53	82	77	3	1017.8	0
MLB	8/12/25 7:53	82	77	3	1017.5	0
MLB	8/12/25 8:53	83	77	5	1017	0
MLB	8/12/25 9:53	83	77	6	1017	0
MLB	8/12/25 10:53	83	77	5	1017.1	0
MLB	8/12/25 11:53	84	77	8	1017.6	0
MLB	8/12/25 12:53	86	77	10	1018	0
MLB	8/12/25 13:53	87	77	9	1018	0
MLB	8/12/25 14:53	88	76	10	1018.2	0
MLB	8/12/25 15:53	89	77	10	1018.2	0
MLB	8/12/25 16:53	90	77	12	1017.8	0
MLB	8/12/25 17:23	89	77	11	M	0
MLB	8/12/25 17:33	89	77	13	M	0
MLB	8/12/25 17:53	86	76	11	1017.8	0
MLB	8/12/25 17:56	86	76	12	M	0
MLB	8/12/25 18:22	86	73	6	M	0
MLB	8/12/25 18:43	88	75	8	M	0
MLB	8/12/25 18:53	89	76	8	1017.4	0
MLB	8/12/25 19:53	89	76	9	1016.6	0
MLB	8/12/25 20:53	89	77	10	1016.3	0
MLB	8/12/25 21:53	89	77	11	1015.9	0
MLB	8/12/25 22:53	88	76	9	1016.1	0
MLB	8/12/25 23:53	86	77	9	1016.5	0
MLB	8/13/25 0:53	85	77	8	1016.8	0
MLB	8/13/25 1:53	85	77	7	1017.3	0
MLB	8/13/25 2:53	85	77	9	1017.8	0
MLB	8/13/25 3:53	85	77	8	1017.8	0
MLB	8/13/25 4:53	83	77	4	1017.9	0
MLB	8/13/25 5:53	82	76	8	1017.4	0
MLB	8/13/25 6:53	81	77	7	1017	0
MLB	8/13/25 7:53	80	76	4	1016.6	0
MLB	8/13/25 8:53	79	76	4	1016.5	0
MLB	8/13/25 9:53	78	75	0	1016.6	0
MLB	8/13/25 10:53	78	75	0	1016.7	0
MLB	8/13/25 11:53	79	76	0	1016.7	0
MLB	8/13/25 12:53	83	76	4	1017.2	0
MLB	8/13/25 13:53	86	77	3	1017.5	0
MLB	8/13/25 14:53	88	76	3	1017.8	0
MLB	8/13/25 15:53	90	74	0	1017.8	0
MLB	8/13/25 16:53	89	77	9	1017.3	0
MLB	8/13/25 17:53	91	76	9	1017	0
MLB	8/13/25 18:53	91	76	11	1016.2	0
MLB	8/13/25 19:53	91	74	11	1015.6	0
MLB	8/13/25 20:53	90	75	12	1015	0
MLB	8/13/25 21:53	89	76	13	1015.1	0
MLB	8/13/25 22:53	88	75	12	1015.2	0
MLB	8/13/25 23:53	86	74	11	1015.2	0
MLB	8/14/25 0:53	86	75	6	1015.9	0
MLB	8/14/25 1:53	84	76	6	1016.3	0
MLB	8/14/25 2:53	84	75	7	1016.3	0
MLB	8/14/25 3:53	83	76	8	1016.4	0
MLB	8/14/25 4:53	82	76	7	1016.6	0
MLB	8/14/25 5:53	81	76	4	1016.3	0
MLB	8/14/25 6:53	80	77	4	1015.8	0
MLB	8/14/25 7:53	80	77	3	1015.7	0
MLB	8/14/25 8:53	80	77	0	1015.8	0
MLB	8/14/25 9:53	79	76	4	1016.1	0
MLB	8/14/25 10:53	78	76	3	1016.9	0
MLB	8/14/25 11:53	80	76	3	1017.1	0
MLB	8/14/25 12:53	83	76	3	1017.6	0
MLB	8/14/25 13:53	86	76	0	1017.7	0
MLB	8/14/25 14:53	89	76	4	1018	0
MLB	8/14/25 15:53	91	76	4	1018	0
MLB	8/14/25 16:53	91	77	8	1017.6	0
MLB	8/14/25 17:53	91	76	9	1017.4	0
MLB	8/14/25 18:53	92	76	10	1016.9	0
MLB	8/14/25 19:06	91	76	10	M	0
MLB	8/14/25 19:27	91	76	10	M	0
MLB	8/14/25 19:43	91	76	10	M	0
MLB	8/14/25 19:53	90	76	9	1016.5	0
MLB	8/14/25 20:07	90	76	7	M	0
MLB	8/14/25 20:53	90	76	10	1016.2	0
MLB	8/14/25 21:53	90	76	9	1015.8	0
MLB	8/14/25 22:53	89	76	9	1016.3	0
MLB	8/14/25 23:53	87	76	9	1016.2	0
MLB	8/15/25 0:53	86	76	6	1017.1	0
MLB	8/15/25 1:53	85	75	6	1017.7	0
MLB	8/15/25 2:53	84	75	6	1018.1	0
MLB	8/15/25 3:53	83	75	4	1018	0
MLB	8/15/25 4:53	82	75	6	1017.8	0
MLB	8/15/25 5:53	82	75	3	1017.7	0
MLB	8/15/25 6:53	81	75	5	1017.4	0
MLB	8/15/25 7:53	80	75	3	1017.2	0
MLB	8/15/25 8:53	80	76	0	1017.4	0
MLB	8/15/25 9:53	79	76	3	1017.6	0
MLB	8/15/25 10:53	79	76	0	1017.9	0
MLB	8/15/25 11:53	81	77	3	1018.6	0
MLB	8/15/25 12:53	84	76	4	1018.9	0
MLB	8/15/25 13:53	87	76	4	1018.9	0
MLB	8/15/25 14:53	88	77	5	1019.3	0
MLB	8/15/25 15:53	90	76	3	1019.3	0
MLB	8/15/25 16:53	91	78	8	1019	0
MLB	8/15/25 17:53	91	79	10	1018.5	0
MLB	8/15/25 18:53	90	78	11	1018.1	0
MLB	8/15/25 19:42	90	77	10	M	0
MLB	8/15/25 19:53	91	77	9	1017.6	0
MLB	8/15/25 20:00	90	77	12	M	0
MLB	8/15/25 20:53	90	76	11	1017	0
MLB	8/15/25 21:53	89	75	11	1016.8	0
MLB	8/15/25 22:53	88	74	9	1016.9	0
MLB	8/15/25 23:24	87	74	9	M	0
MLB	8/15/25 23:53	86	75	8	1017.6	0
MLB	8/16/25 0:53	86	76	8	1017.5	0
MLB	8/16/25 1:53	84	75	6	1018.2	0
MLB	8/16/25 2:53	83	75	3	1019	0
MLB	8/16/25 3:53	82	74	3	1018.8	0
MLB	8/16/25 4:53	82	74	5	1017.9	0
MLB	8/16/25 5:53	81	74	6	1017.6	0
MLB	8/16/25 6:53	80	75	3	1017.2	0
MLB	8/16/25 7:53	79	74	3	1016.9	0
MLB	8/16/25 8:53	78	74	3	1017.1	0
MLB	8/16/25 9:53	78	74	0	1017.4	0
MLB	8/16/25 10:53	78	75	0	1017.3	0
MLB	8/16/25 11:53	81	76	4	1017.4	0
MLB	8/16/25 12:53	85	75	5	1017.5	0
MLB	8/16/25 13:53	86	74	0	1017.4	0
MLB	8/16/25 14:53	88	74	0	1017.5	0
MLB	8/16/25 15:53	89	75	7	1017	0
MLB	8/16/25 16:53	90	73	8	1017	0
MLB	8/16/25 17:53	89	74	9	1016.4	0
MLB	8/16/25 18:53	90	74	10	1015.5	0
MLB	8/16/25 19:53	90	73	9	1014.9	0
MLB	8/16/25 20:53	90	72	11	1014	0
MLB	8/16/25 21:01	90	73	12	M	0
MLB	8/16/25 21:53	89	73	12	1013.6	0
MLB	8/16/25 22:53	88	72	9	1014.2	0
MLB	8/16/25 23:53	86	73	9	1014.6	0
MLB	8/17/25 0:53	85	74	7	1015.1	0
MLB	8/17/25 1:53	85	74	7	1015.5	0
MLB	8/17/25 2:53	85	76	9	1014.8	0
MLB	8/17/25 3:53	85	77	5	1015.1	0
MLB	8/17/25 4:53	84	78	4	1014.9	0
MLB	8/17/25 5:00	83	77	6	M	0
MLB	8/17/25 5:25	81	76	0	M	0
MLB	8/17/25 5:53	81	76	5	1014.4	0
MLB	8/17/25 6:53	80	76	3	1013.9	T
MLB	8/17/25 7:53	79	76	0	1013.4	T
MLB	8/17/25 8:53	80	76	3	1013	T
MLB	8/17/25 9:53	79	76	0	1013.3	0
MLB	8/17/25 10:53	78	75	0	1013.2	0
MLB	8/17/25 11:53	80	77	0	1013.7	0
MLB	8/17/25 12:53	85	76	4	1014.2	0
MLB	8/17/25 13:53	86	76	5	1014.3	0
MLB	8/17/25 14:53	88	75	4	1014.3	0
MLB	8/17/25 15:53	89	74	0	1014.3	0
MLB	8/17/25 16:53	91	77	9	1013.9	0
MLB	8/17/25 17:31	91	77	10	M	0
MLB	8/17/25 17:53	91	76	10	1013	0
MLB	8/17/25 18:53	92	75	10	1013	0
MLB	8/17/25 19:19	91	74	10	M	0
MLB	8/17/25 19:36	91	75	10	M	0
MLB	8/17/25 19:53	90	75	13	1012.2	0
MLB	8/17/25 20:01	91	75	12	M	0
MLB	8/17/25 20:22	88	76	8	M	0
MLB	8/17/25 20:53	89	75	12	1011.8	0
MLB	8/17/25 21:53	87	76	7	1012.1	0
MLB	8/17/25 22:53	87	78	9	1011.6	0
MLB	8/17/25 23:53	86	77	7	1012.5	0
MLB	8/18/25 0:53	85	76	7	1012.2	0
